evaluation_id,institution_id,institution_name,institution_size_tier,sub_institution_id,canonical_name,entity_size_tier,member_name,is_original_member,label
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of phys astron,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,department of physics and astronomy 6,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,departmentof physicsand astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,deptartment of physics and astronomy,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,physics and astronomy r department,1,1
1,45438204,The University of Texas at San Antonio,large,91841,department of physics and astronomy,large,physics and astronomydepartment,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,department of biology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,biology department,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,department biology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,program of biology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,division of biology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,department of integrative biology,1,0
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,departmentof biology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,department of integrated biology,1,0
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,departments of biology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,department ofbiology,1,1
2,45438204,The University of Texas at San Antonio,large,91792,department of biology,large,department r of biology,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information systems and cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,information systems and cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information systems cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,information systems and cyber security department,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,school of information systems and cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,information systems cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,information systems cyber security department,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information system and cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information systems and cybersecurity,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,dept of inf syst cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of info systems and cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information system and cybersecurity,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information systems and cybernetic security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,deparment of information systems and cyber security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of cyber security,1,0
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of electrical and computer engineering and the information systems and cyber security,1,0
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,department of information systems and security,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,dept of inf technol cyber security,1,0
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,information systems and security department,1,1
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,institute for cyber security,0,0
3,45438204,The University of Texas at San Antonio,large,91815,department of information systems and cyber security,large,institute of cyber security,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of mechanical engineering,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,mechanical engineering department,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department mechanical engineering,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of mechanical aerospace and industrial engineering,1,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of civil and environmental engineering and mechanical engineering,1,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of civil and mechanical engineering,1,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,departments of mechanical engineering,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of mechanical enginerring,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of mechanicalengineering,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of mechnaical engineering,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of mechnical engineering,1,1
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,college of engineering,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,division of engineering,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,department of engineering,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,engineering division,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,engineering department,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,school of engineering,0,0
4,45438204,The University of Texas at San Antonio,large,91822,department of mechanical engineering,large,faculty of engineering,0,0
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,department of demography,1,1
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,department of demography and organization studies,1,1
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,department of sociology and demography,1,0
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,department of sociology demography,1,0
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,department of demography and organizational studies,1,1
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,department of demography organization studies,1,1
5,45438204,The University of Texas at San Antonio,large,91805,department of demography,medium,departments of demography and organization studies,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,division of earth and physical sciences,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,division of earth physical sciences,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,division earth physical science,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,division of earth and physical science,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,earth and physical sciences division,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,division ofearth sciences,1,1
6,45438204,The University of Texas at San Antonio,large,91858,division of earth and physical sciences,medium,department of earth and physical sciences,0,1
7,45438204,The University of Texas at San Antonio,large,91848,department of social work,medium,department of social work,1,1
7,45438204,The University of Texas at San Antonio,large,91848,department of social work,medium,social work department,1,1
7,45438204,The University of Texas at San Antonio,large,91848,department of social work,medium,department of sociology and social work,0,0
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronic materials and devices research laboratory,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronic materials and device research laboratory,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronic devices and materials research laboratory,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronic material and devices research laboratory,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronic materials and devices laboratory,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronic materials devices research lab,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronics material device research laboratory,1,1
8,45438204,The University of Texas at San Antonio,large,91883,multifunctional electronic materials and devices research laboratory,small,multifunctional electronics materials devices research laboratory,1,1
9,45438204,The University of Texas at San Antonio,large,91772,center for advanced measurements in extreme environments,small,center for advanced measurements in extreme environments,1,1
9,45438204,The University of Texas at San Antonio,large,91772,center for advanced measurements in extreme environments,small,nasa miro center for advanced measurements in extreme environments,1,1
9,45438204,The University of Texas at San Antonio,large,91772,center for advanced measurements in extreme environments,small,nasa center for advanced measurements in extreme environments,1,1
9,45438204,The University of Texas at San Antonio,large,91772,center for advanced measurements in extreme environments,small,center for advanced measurement in extreme environment,1,1
10,45438204,The University of Texas at San Antonio,large,91837,department of pediatrics,small,department of pediatrics,1,1
10,45438204,The University of Texas at San Antonio,large,91837,department of pediatrics,small,department of pediatric infectious diseases,1,0
10,45438204,The University of Texas at San Antonio,large,91837,department of pediatrics,small,department of pediatries,1,1
10,45438204,The University of Texas at San Antonio,large,91837,department of pediatrics,small,department of peiatrics,1,1
11,181134585,University of the West,large,358384,department of mathematics,large,department of mathematics,1,1
11,181134585,University of the West,large,358384,department of mathematics,large,department of mathematics statistics,1,1
11,181134585,University of the West,large,358384,department of mathematics,large,department of mathematics and statistics,1,1
11,181134585,University of the West,large,358384,department of mathematics,large,department of mathamatics,1,1
12,181134585,University of the West,large,358360,department of chemistry,large,department of chemistry,1,1
12,181134585,University of the West,large,358360,department of chemistry,large,chemistry department,1,1
12,181134585,University of the West,large,358360,department of chemistry,large,department of chemsitry,1,1
12,181134585,University of the West,large,358360,department of chemistry,large,department ofchemistry,1,1
13,181134585,University of the West,large,358417,faculty of food and agriculture,large,faculty of food and agriculture,1,1
13,181134585,University of the West,large,358417,faculty of food and agriculture,large,department of food production,1,0
13,181134585,University of the West,large,358417,faculty of food and agriculture,large,faculty of food and agriculturedepartment of food production,1,1
14,181134585,University of the West,large,358387,department of mechanical engineering,large,department of mechanical engineering,1,1
14,181134585,University of the West,large,358387,department of mechanical engineering,large,department of mechanical and manufacturing engineering,1,1
14,181134585,University of the West,large,358387,department of mechanical engineering,large,mechanical engineering department,1,1
14,181134585,University of the West,large,358387,department of mechanical engineering,large,department of mechanics,1,0
14,181134585,University of the West,large,358387,department of mechanical engineering,large,mechanical engineering departmentfaculty of engineering,1,1
14,181134585,University of the West,large,358387,department of mechanical engineering,large,mechanical manufacturing engineering department,1,1
14,181134585,University of the West,large,358387,department of mechanical engineering,large,faculty of engineering,0,0
14,181134585,University of the West,large,358387,department of mechanical engineering,large,engineering faculty,0,0
14,181134585,University of the West,large,358387,department of mechanical engineering,large,school of engineering,0,0
15,181134585,University of the West,large,358370,department of economics,medium,department of economics,1,1
15,181134585,University of the West,large,358370,department of economics,medium,economics department,1,1
15,181134585,University of the West,large,358370,department of economics,medium,center for health economics,0,0
15,181134585,University of the West,large,358370,department of economics,medium,centre for health economics,0,0
15,181134585,University of the West,large,358370,department of economics,medium,department of agricultural economics and extension,0,0
15,181134585,University of the West,large,358370,department of economics,medium,department of agricultural economics and farm management,0,0
15,181134585,University of the West,large,358370,department of economics,medium,faculty of economics and business administration,0,0
15,181134585,University of the West,large,358370,department of economics,medium,faculty of economics and business,0,0
15,181134585,University of the West,large,358370,department of economics,medium,school of economics and management,0,0
16,181134585,University of the West,large,358352,department of basic medical sciences,medium,department of basic medical sciences,1,1
16,181134585,University of the West,large,358352,department of basic medical sciences,medium,department of biological and biomedical sciences,1,0
16,181134585,University of the West,large,358352,department of basic medical sciences,medium,department of biological and health sciences,1,0
16,181134585,University of the West,large,358352,department of basic medical sciences,medium,department of medical biosciences,1,0
17,181134585,University of the West,large,358503,tropical medicine research institute,medium,tropical medicine research institute,1,1
17,181134585,University of the West,large,358503,tropical medicine research institute,medium,tropical medicine research unit,1,1
17,181134585,University of the West,large,358503,tropical medicine research institute,medium,department of medicine,0,0
17,181134585,University of the West,large,358503,tropical medicine research institute,medium,faculty of medicine,0,0
17,181134585,University of the West,large,358503,tropical medicine research institute,medium,school of medicine,0,0
17,181134585,University of the West,large,358503,tropical medicine research institute,medium,school of medicine and research,0,0
18,181134585,University of the West,large,358348,department of agricultural economics and extension,small,department of agricultural economics and extension,1,1
18,181134585,University of the West,large,358348,department of agricultural economics and extension,small,department of agricultural economics and farm management,1,1
18,181134585,University of the West,large,358348,department of agricultural economics and extension,small,department of economics,0,0
18,181134585,University of the West,large,358348,department of agricultural economics and extension,small,economics department,0,0
19,181134585,University of the West,large,358341,center of biotechnology,small,center of biological and health sciences,1,0
19,181134585,University of the West,large,358341,center of biotechnology,small,center of biological sciences and health,1,0
19,181134585,University of the West,large,358341,center of biotechnology,small,center of biotechnology,1,1
19,181134585,University of the West,large,358341,center of biotechnology,small,center of life and health sciences,1,0
20,181134585,University of the West,large,358493,sir arthur lewis institute of economic social studies,small,sir arthur lewis institute of economic social studies,1,1
20,181134585,University of the West,large,358493,sir arthur lewis institute of economic social studies,small,sir arthur lewis institute of social and economic studies,1,1
20,181134585,University of the West,large,358493,sir arthur lewis institute of economic social studies,small,institute for social and economic studies,0,1
20,181134585,University of the West,large,358493,sir arthur lewis institute of economic social studies,small,institute of social studies,0,1
20,181134585,University of the West,large,358493,sir arthur lewis institute of economic social studies,small,institute of social and economic studies,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information science,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information science school,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,department of information science,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information science college,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,college of information,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information science and technology,1,0
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information sciences,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,college of info sci,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information management,1,0
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,colloge of information,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,department of information science school,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,faculty of information,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information science technology,1,0
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,schoole of information science,1,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,department of information,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information department,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information school,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information science school1,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information science schoole,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information sience school,0,1
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,information science and technology school,0,0
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,department of information and computational science,0,0
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,department of information and computing science,0,0
21,201459984,Guangdong University Of Finances and Economics,large,398849,school of information science,large,school of information science and engineering,0,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,school of law,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,law school,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,faculty of law,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,law department,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,department of law,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,law college,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,experimental teaching demonstration center of law,1,0
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,law faculty,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,law institute,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,school of laws,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,law studies school,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,laws college,1,1
22,201459984,Guangdong University Of Finances and Economics,large,398852,school of law,large,legal college,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,school of finance,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,finance department,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,finance school,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,college of finance,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,faculty of finance,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,finance college,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,finance institute,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,school of finance and economics,1,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,financial school,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,college of finance and economics,1,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,school of finance and banking,1,1
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,department of finance and economics,0,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,institute of finance and economics,0,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,department of economics and finance,0,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,school of finance and trade,0,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,school of finance and taxation,0,0
23,201459984,Guangdong University Of Finances and Economics,large,398838,school of finance,large,finance and taxation school,0,0
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,school of accounting,1,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,yinying kong school of accounting,1,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,accounting school,1,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,school of accountancy,1,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,faculty of accounting,1,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,faculty of auounting,1,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,department of accounting,0,1
24,201459984,Guangdong University Of Finances and Economics,large,398827,school of accounting,large,accounting department,0,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,school of tourism and environment,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,department of tourism and environment,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,college of tourism and environment,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,school of tourism and environment science,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,college of travels and environment,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,department of tourism and environment science,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,school of tourism and enviroment,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,school of tourism and environment studies,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,tourismand environment department,1,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,tourism department,0,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,tourism school,0,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,school of tourism,0,1
25,201459984,Guangdong University Of Finances and Economics,large,398859,school of tourism and environment,medium,tourism college,0,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,school of economic trade and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,school of economics trade and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,college of economics and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,economic trade and statistics school,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,college of economical trade and statistical,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,economics trade and statistics school,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,faculty of economics trade and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,school of economics and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,school of economy trade and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,school of econonic frade and statistics,1,1
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,department of statistics,0,0
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,statistics department,0,0
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,department of economic and statistics,0,0
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,economics and statistics department,0,0
26,201459984,Guangdong University Of Finances and Economics,large,398833,school of economic trade and statistics,medium,school of statistics,0,0
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,information science and technology school,1,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,information technology school,1,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,school of information technology,1,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,department of information,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,department of information technology,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,information department,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,information school,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,network information and educational technology center,0,0
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,school of information,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,college of information,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,school of information science and technology,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,faculty of information,0,1
27,201459984,Guangdong University Of Finances and Economics,large,398806,information science and technology school,medium,school of information science technology,0,1
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,school of intelligent finance and accounting management,1,1
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,school of intelligent finance accounting management,1,1
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,school of intelligence financial accounting management,1,1
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,department of accounting,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,accounting department,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,department of management,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,management school,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,school of accounting,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,accounting school,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,faculty of accounting,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,school of management,0,0
28,201459984,Guangdong University Of Finances and Economics,large,398850,school of intelligent finance and accounting management,small,college of management,0,0
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,county economy research institute,1,1
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,county economy institute,1,1
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,research institute of county economics,1,1
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,research institute of county economy,1,1
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,research institute of county region economy,1,1
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,institute of economy,0,0
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,economy institute,0,0
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,economy research institute,0,0
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,institute of economy and research,0,0
29,201459984,Guangdong University Of Finances and Economics,large,398774,county economy research institute,small,school of economy,0,0
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,information college of business,1,1
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,information colledge of business,1,1
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,business department,0,0
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,department of information,0,0
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,information department,0,0
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,information school,0,0
30,201459984,Guangdong University Of Finances and Economics,large,398802,information college of business,small,school of business,0,0
